Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD11A1_006_Line_Y_1km,MYD11A1_006_Sample_X_1km,MYD11A1_006_Clear_day_cov,MYD11A1_006_Clear_night_cov,MYD11A1_006_Day_view_angl,MYD11A1_006_Day_view_time,MYD11A1_006_Emis_31,MYD11A1_006_Emis_32,MYD11A1_006_LST_Day_1km,MYD11A1_006_LST_Night_1km,MYD11A1_006_Night_view_angl,MYD11A1_006_Night_view_time,MYD11A1_006_QC_Day,MYD11A1_006_QC_Night,MYD11A1_006_QC_Day_bitmask,MYD11A1_006_QC_Day_MODLAND,MYD11A1_006_QC_Day_MODLAND_Description,MYD11A1_006_QC_Day_Data_Quality_flag,MYD11A1_006_QC_Day_Data_Quality_flag_Description,MYD11A1_006_QC_Day_Emis_Error_flag,MYD11A1_006_QC_Day_Emis_Error_flag_Description,MYD11A1_006_QC_Day_LST_Error_Flag,MYD11A1_006_QC_Day_LST_Error_Flag_Description,MYD11A1_006_QC_Night_bitmask,MYD11A1_006_QC_Night_MODLAND,MYD11A1_006_QC_Night_MODLAND_Description,MYD11A1_006_QC_Night_Data_Quality_flag,MYD11A1_006_QC_Night_Data_Quality_flag_Description,MYD11A1_006_QC_Night_Emis_Error_flag,MYD11A1_006_QC_Night_Emis_Error_flag_Description,MYD11A1_006_QC_Night_LST_Error_Flag,MYD11A1_006_QC_Night_LST_Error_Flag_Description
grandmesa,pit2s10,39.0195,-108.1923,2020-02-01,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-02,h09v05,117,713,1.0,1.0,3.0,13.2,0.982,0.986,270.38,256.0,7.0,2.1,0,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-03,h09v05,117,713,0.0,1.842,255.0,255.0,0.984,0.988,0.0,268.72,60.0,2.8,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-04,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-05,h09v05,117,713,1.5185,0.0,49.0,13.7,0.992,0.99,256.84,0.0,255.0,255.0,65,2,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-06,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-07,h09v05,117,713,0.0,0.9785,255.0,255.0,0.986,0.988,0.0,251.88,37.0,2.4,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-08,h09v05,117,713,2.0,0.0,-51.0,12.6,0.988,0.988,270.6,0.0,255.0,255.0,73,2,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-09,h09v05,117,713,0.0,0.9875,255.0,255.0,0.984,0.988,0.0,261.94,18.0,2.2,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-10,h09v05,117,713,1.732,0.0,-61.0,12.4,0.994,0.99,264.94,0.0,255.0,255.0,73,2,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-11,h09v05,117,713,1.0,1.0,-8.0,13.1,0.984,0.988,264.16,253.32,-4.0,2.0,0,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-12,h09v05,117,713,0.0,2.0,255.0,255.0,0.986,0.988,0.0,253.98,55.0,2.7,2,8,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00001000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-13,h09v05,117,713,1.966,0.0,-30.0,12.9,0.992,0.99,263.98,0.0,255.0,255.0,73,2,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-14,h09v05,117,713,1.0,1.0,43.0,13.6,0.984,0.988,269.46,257.72,44.0,2.5,65,8,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00001000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-15,h09v05,117,713,0.0,1.0,255.0,255.0,0.984,0.988,0.0,261.0,-43.0,1.6,2,0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-16,h09v05,117,713,0.0,0.9905,255.0,255.0,0.982,0.988,0.0,254.68,28.0,2.3,2,0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-17,h09v05,117,713,0.0925,1.216,-56.0,12.5,0.992,0.99,265.04,261.48,-55.0,1.4,65,73,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-18,h09v05,117,713,1.0,0.4595,3.0,13.2,0.982,0.988,265.04,256.16,7.0,2.1,65,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
