Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A1_006_Line_Y_1km,MOD11A1_006_Sample_X_1km,MOD11A1_006_Clear_day_cov,MOD11A1_006_Clear_night_cov,MOD11A1_006_Day_view_angl,MOD11A1_006_Day_view_time,MOD11A1_006_Emis_31,MOD11A1_006_Emis_32,MOD11A1_006_LST_Day_1km,MOD11A1_006_LST_Night_1km,MOD11A1_006_Night_view_angl,MOD11A1_006_Night_view_time,MOD11A1_006_QC_Day,MOD11A1_006_QC_Night,MOD11A1_006_QC_Day_bitmask,MOD11A1_006_QC_Day_MODLAND,MOD11A1_006_QC_Day_MODLAND_Description,MOD11A1_006_QC_Day_Data_Quality_flag,MOD11A1_006_QC_Day_Data_Quality_flag_Description,MOD11A1_006_QC_Day_Emis_Error_flag,MOD11A1_006_QC_Day_Emis_Error_flag_Description,MOD11A1_006_QC_Day_LST_Error_Flag,MOD11A1_006_QC_Day_LST_Error_Flag_Description,MOD11A1_006_QC_Night_bitmask,MOD11A1_006_QC_Night_MODLAND,MOD11A1_006_QC_Night_MODLAND_Description,MOD11A1_006_QC_Night_Data_Quality_flag,MOD11A1_006_QC_Night_Data_Quality_flag_Description,MOD11A1_006_QC_Night_Emis_Error_flag,MOD11A1_006_QC_Night_Emis_Error_flag_Description,MOD11A1_006_QC_Night_LST_Error_Flag,MOD11A1_006_QC_Night_LST_Error_Flag_Description
grandmesa,pit2s10,39.0195,-108.1923,2020-02-01,h09v05,117,713,0.0,2.0,255.0,255.0,0.984,0.986,0.0,259.02,59.0,22.8,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-02,h09v05,117,713,1.0,1.0,50.0,11.5,0.984,0.988,271.96,256.6,-19.0,21.9,0,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-03,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-04,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-05,h09v05,117,713,0.036,0.0,-50.0,10.4,0.992,0.99,255.86,0.0,255.0,255.0,65,2,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-06,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-07,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-08,h09v05,117,713,0.9825,0.0,-4.0,10.9,0.982,0.986,269.48,0.0,255.0,255.0,0,2,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-09,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-10,h09v05,117,713,0.995,0.0,-26.0,10.7,0.992,0.99,263.44,0.0,255.0,255.0,73,2,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-11,h09v05,117,713,1.2995,0.321,45.0,11.4,0.984,0.986,262.72,254.62,-29.0,21.8,0,65,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-12,h09v05,117,713,0.0,0.362,255.0,255.0,0.986,0.988,0.0,250.7,43.0,22.5,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-13,h09v05,117,713,0.0,0.7495,255.0,255.0,0.984,0.986,0.0,252.44,-45.0,21.6,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-14,h09v05,117,713,1.99,0.0,-55.0,10.3,0.984,0.988,270.42,0.0,255.0,255.0,65,2,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-15,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-16,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-17,h09v05,117,713,0.0,1.0,255.0,255.0,0.984,0.988,0.0,252.68,60.0,22.8,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-18,h09v05,117,713,0.987,0.0,51.0,11.5,0.994,0.99,261.52,0.0,255.0,255.0,73,2,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-19,h09v05,117,713,0.0,1.1915,255.0,255.0,0.984,0.986,0.0,256.74,50.0,22.6,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-20,h09v05,117,713,1.0,0.1545,38.0,11.3,0.982,0.986,264.48,252.66,-37.0,21.7,0,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-21,h09v05,117,713,1.0,0.9945,-49.0,10.4,0.984,0.986,269.82,249.56,35.0,22.4,65,65,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-22,h09v05,117,713,0.0,1.0,255.0,255.0,0.984,0.988,0.0,259.6,-51.0,21.5,2,65,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
grandmesa,pit2s10,39.0195,-108.1923,2020-02-23,h09v05,117,713,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
